"start","dur","textos"
0,0.7,"E aí?"
1.86,1.1,"Oi meu amor, tudo bom?"
3.22,0.5,"Como é que tá?"
4.16,1.34,"Tudo ótimo, cê tava aonde?"
8.32,0.5,"Eu tava tomando um chopp com os colegas do trabalho."
15.14,0.96,"Que que houve, Jorge?"
16.1,1.4,"Que que houve o quê?"
17.66,2,"Que que houve, porque que cê tá falando esquisito?"
19.66,1.52,"Eu não tô falando esquisito"
21.22,2.62,"Porque é que você falou estranho quando eu te perguntei onde é que cê tava?"
24.18,4.96,"Eu não estava falando estranho, eu estava falando normal!"
29.68,2.68,"Jorge, você sabe que você não sabe mentir?"
32.54,3.54,"É claro que eu sei mentir!"
37.06,7.74,"Tá bom eu não sei, mentir amor, cê tem razão, mas aquela hora que cê me perguntou, eu tava falando a verdade."
46.04,4.18,"É muito discrepante a diferença entre quando cê tá falando a verdade e cê tá mentindo."
50.74,1.26,"É gritante mesmo."
52.36,0.92,"Desculpa, amor!"
53.64,4.08,"É muito difícil para mim falar a verdade, porque a verdade é meio constrangedora... eu..."
58.24,4.94,"Eu tava no puteiro com os colegas comendo putas..."
